Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,5.634,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,1.92628,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,0.726522,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,4.6498,https://leetcode.com/problems/longest-palindromic-substring
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,2.39884,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,1.01553,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,2.58505,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,20.4946,https://leetcode.com/problems/merge-k-sorted-lists
27,Remove Element,"Array, Two Pointers",49.6%,Easy,1.67368,https://leetcode.com/problems/remove-element
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,20.545,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,5.30688,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,19.3453,https://leetcode.com/problems/sudoku-solver
41,First Missing Positive,Array,34.1%,Hard,13.3047,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,1.90029,https://leetcode.com/problems/trapping-rain-water
46,Permutations,Backtracking,67.3%,Medium,2.3795,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",59.9%,Medium,8.2476,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,2.4301,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",41.5%,Medium,3.21075,https://leetcode.com/problems/merge-intervals
