Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
13,Roman to Integer,"Math, String",57.1%,Easy,5.93181,https://leetcode.com/problems/roman-to-integer
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,15.7971,https://leetcode.com/problems/trapping-rain-water
56,Merge Intervals,"Array, Sort",41.5%,Medium,21.0875,https://leetcode.com/problems/merge-intervals
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,26.0657,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,3.65976,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
127,Word Ladder,Breadth-first Search,32.3%,Hard,15.3293,https://leetcode.com/problems/word-ladder
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,19.1788,https://leetcode.com/problems/longest-consecutive-sequence
139,Word Break,Dynamic Programming,42.0%,Medium,20.565,https://leetcode.com/problems/word-break
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,34.1223,https://leetcode.com/problems/number-of-islands
228,Summary Ranges,Array,42.8%,Easy,45.5997,https://leetcode.com/problems/summary-ranges
297,Serialize and Deserialize Binary Tree,"Tree, Design",50.4%,Hard,32.3117,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
301,Remove Invalid Parentheses,"Depth-first Search, Breadth-first Search",45.0%,Hard,69.9483,https://leetcode.com/problems/remove-invalid-parentheses
317,Shortest Distance from All Buildings,Breadth-first Search,43.0%,Hard,75.6513,https://leetcode.com/problems/shortest-distance-from-all-buildings
329,Longest Increasing Path in a Matrix,"Depth-first Search, Topological Sort, Memoization",46.4%,Hard,15.4665,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,27.8312,https://leetcode.com/problems/reconstruct-itinerary
518,Coin Change 2,,52.2%,Medium,26.8062,https://leetcode.com/problems/coin-change-2
695,Max Area of Island,"Array, Depth-first Search",65.3%,Medium,35.0021,https://leetcode.com/problems/max-area-of-island
935,Knight Dialer,Dynamic Programming,46.8%,Medium,100.0,https://leetcode.com/problems/knight-dialer
1197,Minimum Knight Moves,Breadth-first Search,37.6%,Medium,42.8615,https://leetcode.com/problems/minimum-knight-moves
