Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,3.50134,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,0.94681,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,1.42634,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,0.762668,https://leetcode.com/problems/median-of-two-sorted-arrays
6,ZigZag Conversion,String,38.4%,Medium,2.11142,https://leetcode.com/problems/zigzag-conversion
13,Roman to Integer,"Math, String",57.1%,Easy,0.787898,https://leetcode.com/problems/roman-to-integer
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.524502,https://leetcode.com/problems/letter-combinations-of-a-phone-number
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,0.565254,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,1.13293,https://leetcode.com/problems/merge-k-sorted-lists
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,0.6499,https://leetcode.com/problems/longest-valid-parentheses
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,4.6246,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
36,Valid Sudoku,Hash Table,51.0%,Medium,4.44845,https://leetcode.com/problems/valid-sudoku
39,Combination Sum,"Array, Backtracking",59.9%,Medium,1.41956,https://leetcode.com/problems/combination-sum
41,First Missing Positive,Array,34.1%,Hard,1.64576,https://leetcode.com/problems/first-missing-positive
48,Rotate Image,Array,61.1%,Medium,15.5893,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,6.3148,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",41.5%,Medium,8.5118,https://leetcode.com/problems/merge-intervals
68,Text Justification,String,30.4%,Hard,100.0,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,2.6107,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,0.762904,https://leetcode.com/problems/climbing-stairs
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,3.61372,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",65.8%,Medium,5.27861,https://leetcode.com/problems/subsets
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,1.53174,https://leetcode.com/problems/decode-ways
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,0.730644,https://leetcode.com/problems/validate-binary-search-tree
