Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.522722,https://leetcode.com/problems/two-sum
15,3Sum,"Array, Two Pointers",28.3%,Medium,4.03864,https://leetcode.com/problems/3sum
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,8.46686,https://leetcode.com/problems/generate-parentheses
41,First Missing Positive,Array,34.1%,Hard,4.95304,https://leetcode.com/problems/first-missing-positive
56,Merge Intervals,"Array, Sort",41.5%,Medium,4.74957,https://leetcode.com/problems/merge-intervals
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,5.26906,https://leetcode.com/problems/merge-sorted-array
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,1.46299,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
139,Word Break,Dynamic Programming,42.0%,Medium,3.66121,https://leetcode.com/problems/word-break
146,LRU Cache,Design,36.4%,Medium,13.2146,https://leetcode.com/problems/lru-cache
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,100.0,https://leetcode.com/problems/kth-largest-element-in-an-array
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,10.737,https://leetcode.com/problems/meeting-rooms-ii
265,Paint House II,Dynamic Programming,46.1%,Hard,55.0333,https://leetcode.com/problems/paint-house-ii
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,5.94855,https://leetcode.com/problems/find-median-from-data-stream
297,Serialize and Deserialize Binary Tree,"Tree, Design",50.4%,Hard,5.75922,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
322,Coin Change,Dynamic Programming,37.8%,Medium,49.6428,https://leetcode.com/problems/coin-change
347,Top K Frequent Elements,"Hash Table, Heap",62.7%,Medium,9.50775,https://leetcode.com/problems/top-k-frequent-elements
394,Decode String,"Stack, Depth-first Search",53.1%,Medium,14.9978,https://leetcode.com/problems/decode-string
953,Verifying an Alien Dictionary,Hash Table,52.5%,Easy,65.355,https://leetcode.com/problems/verifying-an-alien-dictionary
994,Rotting Oranges,Breadth-first Search,49.7%,Medium,10.7106,https://leetcode.com/problems/rotting-oranges
