Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,15.9161,https://leetcode.com/problems/merge-k-sorted-lists
41,First Missing Positive,Array,34.1%,Hard,51.8775,https://leetcode.com/problems/first-missing-positive
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,24.5958,https://leetcode.com/problems/merge-sorted-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,10.2403,https://leetcode.com/problems/number-of-islands
224,Basic Calculator,"Math, Stack",38.3%,Hard,54.4658,https://leetcode.com/problems/basic-calculator
340,Longest Substring with At Most K Distinct Characters,"Hash Table, Two Pointers, String, Sliding Window",45.8%,Medium,51.843,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
424,Longest Repeating Character Replacement,"Two Pointers, Sliding Window",48.5%,Medium,100.0,https://leetcode.com/problems/longest-repeating-character-replacement
680,Valid Palindrome II,String,37.2%,Easy,25.1526,https://leetcode.com/problems/valid-palindrome-ii
767,Reorganize String,"String, Heap, Greedy, Sort",50.3%,Medium,85.7128,https://leetcode.com/problems/reorganize-string
1472,Design Browser History,Design,72.2%,Medium,81.1562,https://leetcode.com/problems/design-browser-history
