Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.0383361,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,0.0788196,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,0.126406,https://leetcode.com/problems/longest-palindromic-substring
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.504517,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",41.5%,Medium,1.38449,https://leetcode.com/problems/merge-intervals
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,0.171972,https://leetcode.com/problems/merge-sorted-array
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,0.459366,https://leetcode.com/problems/symmetric-tree
125,Valid Palindrome,"Two Pointers, String",38.6%,Easy,1.21661,https://leetcode.com/problems/valid-palindrome
161,One Edit Distance,String,33.2%,Medium,4.3499,https://leetcode.com/problems/one-edit-distance
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,1.94934,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,0.727297,https://leetcode.com/problems/reverse-linked-list
228,Summary Ranges,Array,42.8%,Easy,8.01722,https://leetcode.com/problems/summary-ranges
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,1.39469,https://leetcode.com/problems/meeting-rooms-ii
281,Zigzag Iterator,Design,59.7%,Medium,15.2201,https://leetcode.com/problems/zigzag-iterator
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,0.174603,https://leetcode.com/problems/move-zeroes
356,Line Reflection,"Hash Table, Math",33.1%,Medium,100.0,https://leetcode.com/problems/line-reflection
362,Design Hit Counter,Design,65.6%,Medium,3.61894,https://leetcode.com/problems/design-hit-counter
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,3.16323,https://leetcode.com/problems/insert-delete-getrandom-o1
443,String Compression,String,44.3%,Medium,6.0296,https://leetcode.com/problems/string-compression
487,Max Consecutive Ones II,Two Pointers,48.0%,Medium,2.71618,https://leetcode.com/problems/max-consecutive-ones-ii
560,Subarray Sum Equals K,"Array, Hash Table",43.7%,Medium,4.98738,https://leetcode.com/problems/subarray-sum-equals-k
567,Permutation in String,"Two Pointers, Sliding Window",44.6%,Medium,0.874051,https://leetcode.com/problems/permutation-in-string
849,Maximize Distance to Closest Person,Array,44.6%,Medium,14.7675,https://leetcode.com/problems/maximize-distance-to-closest-person
977,Squares of a Sorted Array,"Array, Two Pointers",71.8%,Easy,0.210345,https://leetcode.com/problems/squares-of-a-sorted-array
1493,Longest Subarray of 1's After Deleting One Element,Array,57.7%,Medium,57.61,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element
1650,Lowest Common Ancestor of a Binary Tree III,Tree,76.8%,Medium,1.20822,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii
