Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,13.7712,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,3.12204,https://leetcode.com/problems/add-two-numbers
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,1.48191,https://leetcode.com/problems/longest-palindromic-substring
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,3.6098,https://leetcode.com/problems/regular-expression-matching
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.70998,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,0.336773,https://leetcode.com/problems/merge-k-sorted-lists
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.055689,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",59.9%,Medium,29.1881,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,16.807,https://leetcode.com/problems/trapping-rain-water
68,Text Justification,String,30.4%,Hard,41.5743,https://leetcode.com/problems/text-justification
108,Convert Sorted Array to Binary Search Tree,"Tree, Depth-first Search",61.1%,Easy,0.474474,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
125,Valid Palindrome,"Two Pointers, String",38.6%,Easy,1.47079,https://leetcode.com/problems/valid-palindrome
136,Single Number,"Hash Table, Bit Manipulation",66.8%,Easy,0.501321,https://leetcode.com/problems/single-number
160,Intersection of Two Linked Lists,Linked List,44.7%,Easy,0.722816,https://leetcode.com/problems/intersection-of-two-linked-lists
166,Fraction to Recurring Decimal,"Hash Table, Math",22.5%,Medium,32.467,https://leetcode.com/problems/fraction-to-recurring-decimal
190,Reverse Bits,Bit Manipulation,42.8%,Easy,0.627854,https://leetcode.com/problems/reverse-bits
198,House Robber,Dynamic Programming,43.2%,Medium,2.18532,https://leetcode.com/problems/house-robber
202,Happy Number,"Hash Table, Math",51.4%,Easy,0.612949,https://leetcode.com/problems/happy-number
212,Word Search II,"Backtracking, Trie",37.6%,Hard,5.6293,https://leetcode.com/problems/word-search-ii
217,Contains Duplicate,"Array, Hash Table",57.0%,Easy,0.171901,https://leetcode.com/problems/contains-duplicate
219,Contains Duplicate II,"Array, Hash Table",38.9%,Easy,1.80858,https://leetcode.com/problems/contains-duplicate-ii
220,Contains Duplicate III,"Sort, Ordered Map",21.4%,Medium,1.23101,https://leetcode.com/problems/contains-duplicate-iii
221,Maximal Square,Dynamic Programming,39.7%,Medium,0.277282,https://leetcode.com/problems/maximal-square
227,Basic Calculator II,"String, Stack",38.9%,Medium,0.0,https://leetcode.com/problems/basic-calculator-ii
236,Lowest Common Ancestor of a Binary Tree,Tree,49.6%,Medium,0.832782,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
251,Flatten 2D Vector,Design,46.5%,Medium,80.2363,https://leetcode.com/problems/flatten-2d-vector
269,Alien Dictionary,"Graph, Topological Sort",33.8%,Hard,57.8451,https://leetcode.com/problems/alien-dictionary
280,Wiggle Sort,"Array, Sort",64.9%,Medium,2.01153,https://leetcode.com/problems/wiggle-sort
322,Coin Change,Dynamic Programming,37.8%,Medium,4.44695,https://leetcode.com/problems/coin-change
324,Wiggle Sort II,Sort,30.9%,Medium,22.3404,https://leetcode.com/problems/wiggle-sort-ii
336,Palindrome Pairs,"Hash Table, String, Trie",35.0%,Hard,100.0,https://leetcode.com/problems/palindrome-pairs
341,Flatten Nested List Iterator,"Stack, Design",56.0%,Medium,11.744,https://leetcode.com/problems/flatten-nested-list-iterator
385,Mini Parser,"String, Stack",34.7%,Medium,2.13839,https://leetcode.com/problems/mini-parser
415,Add Strings,String,48.6%,Easy,0.0,https://leetcode.com/problems/add-strings
