Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,51.4548,https://leetcode.com/problems/add-two-numbers
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,4.44993,https://leetcode.com/problems/letter-combinations-of-a-phone-number
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,5.3652,https://leetcode.com/problems/merge-two-sorted-lists
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,1.80747,https://leetcode.com/problems/maximum-subarray
66,Plus One,Array,42.2%,Easy,0.281165,https://leetcode.com/problems/plus-one
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,18.0873,https://leetcode.com/problems/symmetric-tree
138,Copy List with Random Pointer,"Hash Table, Linked List",41.7%,Medium,65.7007,https://leetcode.com/problems/copy-list-with-random-pointer
146,LRU Cache,Design,36.4%,Medium,8.95065,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",46.9%,Easy,52.5948,https://leetcode.com/problems/min-stack
203,Remove Linked List Elements,Linked List,39.6%,Easy,0.971783,https://leetcode.com/problems/remove-linked-list-elements
204,Count Primes,"Hash Table, Math",32.4%,Easy,23.1291,https://leetcode.com/problems/count-primes
206,Reverse Linked List,Linked List,65.9%,Easy,0.655422,https://leetcode.com/problems/reverse-linked-list
228,Summary Ranges,Array,42.8%,Easy,100.0,https://leetcode.com/problems/summary-ranges
234,Palindrome Linked List,"Linked List, Two Pointers",42.2%,Easy,1.6978,https://leetcode.com/problems/palindrome-linked-list
268,Missing Number,"Array, Math, Bit Manipulation",55.4%,Easy,14.3999,https://leetcode.com/problems/missing-number
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,3.21243,https://leetcode.com/problems/move-zeroes
290,Word Pattern,Hash Table,38.5%,Easy,59.4119,https://leetcode.com/problems/word-pattern
322,Coin Change,Dynamic Programming,37.8%,Medium,57.5442,https://leetcode.com/problems/coin-change
328,Odd Even Linked List,Linked List,57.3%,Medium,73.7575,https://leetcode.com/problems/odd-even-linked-list
347,Top K Frequent Elements,"Hash Table, Heap",62.7%,Medium,27.0046,https://leetcode.com/problems/top-k-frequent-elements
412,Fizz Buzz,,63.8%,Easy,16.7349,https://leetcode.com/problems/fizz-buzz
482,License Key Formatting,,43.1%,Easy,48.721,https://leetcode.com/problems/license-key-formatting
814,Binary Tree Pruning,Tree,71.9%,Medium,78.2836,https://leetcode.com/problems/binary-tree-pruning
905,Sort Array By Parity,Array,75.0%,Easy,9.23403,https://leetcode.com/problems/sort-array-by-parity
1071,Greatest Common Divisor of Strings,String,51.8%,Easy,18.3673,https://leetcode.com/problems/greatest-common-divisor-of-strings
1390,Four Divisors,Math,39.6%,Medium,0.0,https://leetcode.com/problems/four-divisors
