Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,3.23467,https://leetcode.com/problems/two-sum
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.699902,https://leetcode.com/problems/3sum
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,0.978239,https://leetcode.com/problems/search-in-rotated-sorted-array
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,1.01216,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
134,Gas Station,Greedy,41.7%,Medium,2.19155,https://leetcode.com/problems/gas-station
206,Reverse Linked List,Linked List,65.9%,Easy,4.36942,https://leetcode.com/problems/reverse-linked-list
232,Implement Queue using Stacks,"Stack, Design",52.9%,Easy,6.74826,https://leetcode.com/problems/implement-queue-using-stacks
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,5.12503,https://leetcode.com/problems/meeting-rooms-ii
300,Longest Increasing Subsequence,"Binary Search, Dynamic Programming",44.7%,Medium,2.57959,https://leetcode.com/problems/longest-increasing-subsequence
355,Design Twitter,"Hash Table, Heap, Design",31.7%,Medium,6.85166,https://leetcode.com/problems/design-twitter
394,Decode String,"Stack, Depth-first Search",53.1%,Medium,2.59915,https://leetcode.com/problems/decode-string
443,String Compression,String,44.3%,Medium,44.2217,https://leetcode.com/problems/string-compression
532,K-diff Pairs in an Array,"Array, Two Pointers",35.6%,Medium,38.1206,https://leetcode.com/problems/k-diff-pairs-in-an-array
647,Palindromic Substrings,"String, Dynamic Programming",62.8%,Medium,0.478754,https://leetcode.com/problems/palindromic-substrings
697,Degree of an Array,Array,54.5%,Easy,15.3903,https://leetcode.com/problems/degree-of-an-array
741,Cherry Pickup,Dynamic Programming,35.2%,Hard,67.436,https://leetcode.com/problems/cherry-pickup
761,Special Binary String,"String, Recursion",58.8%,Hard,100.0,https://leetcode.com/problems/special-binary-string
829,Consecutive Numbers Sum,Math,39.2%,Hard,79.8369,https://leetcode.com/problems/consecutive-numbers-sum
1010,Pairs of Songs With Total Durations Divisible by 60,Array,50.8%,Medium,35.233,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1202,Smallest String With Swaps,"Array, Union Find",49.1%,Medium,18.558,https://leetcode.com/problems/smallest-string-with-swaps
1223,Dice Roll Simulation,Dynamic Programming,46.7%,Hard,27.2076,https://leetcode.com/problems/dice-roll-simulation
1290,Convert Binary Number in a Linked List to Integer,"Linked List, Bit Manipulation",81.7%,Easy,1.40233,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Graph,47.4%,Medium,41.0785,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance
1347,Minimum Number of Steps to Make Two Strings Anagram,String,75.1%,Medium,15.2684,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram
1353,Maximum Number of Events That Can Be Attended,"Greedy, Sort, Segment Tree",30.6%,Medium,45.7091,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1383,Maximum Performance of a Team,"Greedy, Sort",36.1%,Hard,47.2728,https://leetcode.com/problems/maximum-performance-of-a-team
1529,Bulb Switcher IV,String,71.0%,Medium,44.7256,https://leetcode.com/problems/bulb-switcher-iv
