Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
54,Spiral Matrix,Array,36.7%,Medium,5.82146,https://leetcode.com/problems/spiral-matrix
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,2.50526,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,"Array, Greedy",58.9%,Easy,0.970869,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
162,Find Peak Element,"Array, Binary Search",44.1%,Medium,3.01953,https://leetcode.com/problems/find-peak-element
174,Dungeon Game,"Binary Search, Dynamic Programming",33.5%,Hard,4.45541,https://leetcode.com/problems/dungeon-game
188,Best Time to Buy and Sell Stock IV,Dynamic Programming,30.2%,Hard,5.54016,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
514,Freedom Trail,"Divide and Conquer, Dynamic Programming, Depth-first Search",45.0%,Hard,100.0,https://leetcode.com/problems/freedom-trail
829,Consecutive Numbers Sum,Math,39.2%,Hard,4.9439,https://leetcode.com/problems/consecutive-numbers-sum
1122,Relative Sort Array,"Array, Sort",68.1%,Easy,0.0,https://leetcode.com/problems/relative-sort-array
1262,Greatest Sum Divisible by Three,Dynamic Programming,50.1%,Medium,0.0,https://leetcode.com/problems/greatest-sum-divisible-by-three
1326,Minimum Number of Taps to Open to Water a Garden,"Dynamic Programming, Greedy",47.5%,Hard,11.6807,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
1358,Number of Substrings Containing All Three Characters,String,60.6%,Medium,55.8404,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters
1679,Max Number of K-Sum Pairs,Hash Table,53.7%,Medium,0.0,https://leetcode.com/problems/max-number-of-k-sum-pairs
