Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,23.6934,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,2.54788,https://leetcode.com/problems/longest-substring-without-repeating-characters
20,Valid Parentheses,"String, Stack",40.0%,Easy,70.896,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,3.17981,https://leetcode.com/problems/merge-two-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,31.7876,https://leetcode.com/problems/search-in-rotated-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,4.01211,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",59.9%,Medium,5.67385,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,10.2277,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,4.88458,https://leetcode.com/problems/spiral-matrix
63,Unique Paths II,"Array, Dynamic Programming",35.4%,Medium,0.959076,https://leetcode.com/problems/unique-paths-ii
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,18.2882,https://leetcode.com/problems/climbing-stairs
73,Set Matrix Zeroes,Array,44.7%,Medium,51.2887,https://leetcode.com/problems/set-matrix-zeroes
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,3.01704,https://leetcode.com/problems/sort-colors
79,Word Search,"Array, Backtracking",37.3%,Medium,3.12221,https://leetcode.com/problems/word-search
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,2.16536,https://leetcode.com/problems/decode-ways
114,Flatten Binary Tree to Linked List,"Tree, Depth-first Search",52.6%,Medium,0.935035,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,17.8085,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
134,Gas Station,Greedy,41.7%,Medium,3.3384,https://leetcode.com/problems/gas-station
146,LRU Cache,Design,36.4%,Medium,20.4177,https://leetcode.com/problems/lru-cache
151,Reverse Words in a String,String,24.3%,Medium,13.8935,https://leetcode.com/problems/reverse-words-in-a-string
198,House Robber,Dynamic Programming,43.2%,Medium,11.465,https://leetcode.com/problems/house-robber
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,35.337,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,1.17175,https://leetcode.com/problems/reverse-linked-list
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,2.32121,https://leetcode.com/problems/kth-largest-element-in-an-array
238,Product of Array Except Self,Array,61.4%,Medium,4.97416,https://leetcode.com/problems/product-of-array-except-self
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,0.682351,https://leetcode.com/problems/sliding-window-maximum
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,6.76361,https://leetcode.com/problems/meeting-rooms-ii
276,Paint Fence,Dynamic Programming,39.3%,Medium,52.4519,https://leetcode.com/problems/paint-fence
297,Serialize and Deserialize Binary Tree,"Tree, Design",50.4%,Hard,10.4867,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,11.3832,https://leetcode.com/problems/reconstruct-itinerary
423,Reconstruct Original Digits from English,Math,50.9%,Medium,0.473535,https://leetcode.com/problems/reconstruct-original-digits-from-english
426,Convert Binary Search Tree to Sorted Doubly Linked List,"Linked List, Divide and Conquer, Tree",61.7%,Medium,5.76166,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
443,String Compression,String,44.3%,Medium,40.4267,https://leetcode.com/problems/string-compression
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,4.37061,https://leetcode.com/problems/random-pick-with-weight
