Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,24.8796,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,5.14141,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,61.6784,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,7.37498,https://leetcode.com/problems/longest-palindromic-substring
8,String to Integer (atoi),"Math, String",15.8%,Medium,25.3793,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,7.30829,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,25.3116,https://leetcode.com/problems/container-with-most-water
13,Roman to Integer,"Math, String",57.1%,Easy,1.73833,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",28.3%,Medium,2.11838,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,0.806134,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.24555,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",35.2%,Medium,0.20094,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,0.755912,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,1.78179,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,1.33249,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,0.757127,https://leetcode.com/problems/swap-nodes-in-pairs
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,0.0807905,https://leetcode.com/problems/implement-strstr
31,Next Permutation,Array,33.9%,Medium,2.11817,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,10.1947,https://leetcode.com/problems/search-in-rotated-sorted-array
36,Valid Sudoku,Hash Table,51.0%,Medium,1.31432,https://leetcode.com/problems/valid-sudoku
41,First Missing Positive,Array,34.1%,Hard,0.277632,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,95.1749,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,19.5804,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,67.3%,Medium,3.00246,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",59.9%,Medium,52.3796,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,6.24211,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,9.18465,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,12.2934,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,4.83814,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,0.37818,https://leetcode.com/problems/insert-interval
59,Spiral Matrix II,Array,58.3%,Medium,0.877044,https://leetcode.com/problems/spiral-matrix-ii
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,3.37355,https://leetcode.com/problems/unique-paths
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,21.345,https://leetcode.com/problems/minimum-path-sum
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,0.347994,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,51.4833,https://leetcode.com/problems/climbing-stairs
73,Set Matrix Zeroes,Array,44.7%,Medium,1.7443,https://leetcode.com/problems/set-matrix-zeroes
74,Search a 2D Matrix,"Array, Binary Search",38.3%,Medium,1.36376,https://leetcode.com/problems/search-a-2d-matrix
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,0.409923,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,2.87923,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",65.8%,Medium,2.39225,https://leetcode.com/problems/subsets
82,Remove Duplicates from Sorted List II,Linked List,39.6%,Medium,0.274434,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
83,Remove Duplicates from Sorted List,Linked List,46.7%,Easy,4.68636,https://leetcode.com/problems/remove-duplicates-from-sorted-list
