Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,78.0967,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,7.82337,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,50.9957,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,15.2725,https://leetcode.com/problems/longest-palindromic-substring
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,11.0969,https://leetcode.com/problems/trapping-rain-water
45,Jump Game II,"Array, Greedy",31.8%,Medium,56.1935,https://leetcode.com/problems/jump-game-ii
54,Spiral Matrix,Array,36.7%,Medium,4.62612,https://leetcode.com/problems/spiral-matrix
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,7.78353,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,14.1394,https://leetcode.com/problems/climbing-stairs
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,7.67025,https://leetcode.com/problems/largest-rectangle-in-histogram
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,10.2486,https://leetcode.com/problems/decode-ways
151,Reverse Words in a String,String,24.3%,Medium,24.0054,https://leetcode.com/problems/reverse-words-in-a-string
221,Maximal Square,Dynamic Programming,39.7%,Medium,100.0,https://leetcode.com/problems/maximal-square
355,Design Twitter,"Hash Table, Heap, Design",31.7%,Medium,39.1658,https://leetcode.com/problems/design-twitter
617,Merge Two Binary Trees,Tree,75.6%,Easy,15.1016,https://leetcode.com/problems/merge-two-binary-trees
739,Daily Temperatures,"Hash Table, Stack",64.9%,Medium,7.66359,https://leetcode.com/problems/daily-temperatures
1702,Maximum Binary String After Change,Greedy,59.2%,Medium,0.0,https://leetcode.com/problems/maximum-binary-string-after-change
