Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,26.4708,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,8.7865,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,31.3625,https://leetcode.com/problems/longest-palindromic-substring
15,3Sum,"Array, Two Pointers",28.3%,Medium,1.63847,https://leetcode.com/problems/3sum
38,Count and Say,String,46.3%,Medium,16.0233,https://leetcode.com/problems/count-and-say
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,13.0493,https://leetcode.com/problems/maximum-subarray
146,LRU Cache,Design,36.4%,Medium,12.0504,https://leetcode.com/problems/lru-cache
177,Nth Highest Salary,,33.7%,Medium,18.8355,https://leetcode.com/problems/nth-highest-salary
347,Top K Frequent Elements,"Hash Table, Heap",62.7%,Medium,3.86254,https://leetcode.com/problems/top-k-frequent-elements
410,Split Array Largest Sum,"Binary Search, Dynamic Programming",46.8%,Hard,18.819,https://leetcode.com/problems/split-array-largest-sum
1124,Longest Well-Performing Interval,Stack,33.3%,Medium,0.0,https://leetcode.com/problems/longest-well-performing-interval
1175,Prime Arrangements,Math,51.8%,Easy,100.0,https://leetcode.com/problems/prime-arrangements
1353,Maximum Number of Events That Can Be Attended,"Greedy, Sort, Segment Tree",30.6%,Medium,65.6812,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1540,Can Convert String in K Moves,"String, Greedy",31.3%,Medium,0.0,https://leetcode.com/problems/can-convert-string-in-k-moves
1798,Maximum Number of Consecutive Values You Can Make,Greedy,44.8%,Medium,0.0,https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make
