Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,0.173424,https://leetcode.com/problems/merge-k-sorted-lists
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,2.19638,https://leetcode.com/problems/trapping-rain-water
48,Rotate Image,Array,61.1%,Medium,0.351928,https://leetcode.com/problems/rotate-image
56,Merge Intervals,"Array, Sort",41.5%,Medium,60.4186,https://leetcode.com/problems/merge-intervals
72,Edit Distance,"String, Dynamic Programming",47.2%,Hard,0.784173,https://leetcode.com/problems/edit-distance
136,Single Number,"Hash Table, Bit Manipulation",66.8%,Easy,0.132437,https://leetcode.com/problems/single-number
146,LRU Cache,Design,36.4%,Medium,19.8101,https://leetcode.com/problems/lru-cache
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,11.9139,https://leetcode.com/problems/number-of-islands
217,Contains Duplicate,"Array, Hash Table",57.0%,Easy,0.13777,https://leetcode.com/problems/contains-duplicate
219,Contains Duplicate II,"Array, Hash Table",38.9%,Easy,0.22003,https://leetcode.com/problems/contains-duplicate-ii
220,Contains Duplicate III,"Sort, Ordered Map",21.4%,Medium,3.77984,https://leetcode.com/problems/contains-duplicate-iii
236,Lowest Common Ancestor of a Binary Tree,Tree,49.6%,Medium,0.301265,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
273,Integer to English Words,"Math, String",28.4%,Hard,37.1574,https://leetcode.com/problems/integer-to-english-words
277,Find the Celebrity,Array,44.2%,Medium,6.73558,https://leetcode.com/problems/find-the-celebrity
303,Range Sum Query - Immutable,Dynamic Programming,48.5%,Easy,0.0,https://leetcode.com/problems/range-sum-query-immutable
325,Maximum Size Subarray Sum Equals k,Hash Table,47.6%,Medium,0.0,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k
393,UTF-8 Validation,Bit Manipulation,38.2%,Medium,100.0,https://leetcode.com/problems/utf-8-validation
539,Minimum Time Difference,String,52.5%,Medium,83.6798,https://leetcode.com/problems/minimum-time-difference
681,Next Closest Time,String,46.0%,Medium,1.22226,https://leetcode.com/problems/next-closest-time
694,Number of Distinct Islands,"Hash Table, Depth-first Search, Breadth-first Search",58.2%,Medium,1.46767,https://leetcode.com/problems/number-of-distinct-islands
695,Max Area of Island,"Array, Depth-first Search",65.3%,Medium,1.67908,https://leetcode.com/problems/max-area-of-island
733,Flood Fill,Depth-first Search,56.0%,Easy,9.16638,https://leetcode.com/problems/flood-fill
1232,Check If It Is a Straight Line,"Array, Math, Geometry",43.2%,Easy,0.0,https://leetcode.com/problems/check-if-it-is-a-straight-line
