Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,17.506,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,5.14499,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,2.10571,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,1.34575,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,2.77883,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,38.4%,Medium,100.0,https://leetcode.com/problems/zigzag-conversion
12,Integer to Roman,"Math, String",57.2%,Medium,6.38756,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,2.45295,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,0.339801,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,1.05532,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",40.0%,Easy,9.26118,https://leetcode.com/problems/valid-parentheses
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,0.985734,https://leetcode.com/problems/generate-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,2.59647,https://leetcode.com/problems/search-in-rotated-sorted-array
46,Permutations,Backtracking,67.3%,Medium,5.57111,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",59.9%,Medium,1.7908,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,2.25685,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,4.31107,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,15.5187,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,15.1318,https://leetcode.com/problems/merge-intervals
68,Text Justification,String,30.4%,Hard,11.1371,https://leetcode.com/problems/text-justification
73,Set Matrix Zeroes,Array,44.7%,Medium,3.39712,https://leetcode.com/problems/set-matrix-zeroes
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,1.67709,https://leetcode.com/problems/sort-colors
82,Remove Duplicates from Sorted List II,Linked List,39.6%,Medium,4.39699,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,0.6795,https://leetcode.com/problems/decode-ways
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",57.1%,Medium,5.40041,https://leetcode.com/problems/binary-tree-level-order-traversal
112,Path Sum,"Tree, Depth-first Search",42.7%,Easy,0.287902,https://leetcode.com/problems/path-sum
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,2.85226,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,"Array, Greedy",58.9%,Easy,0.452827,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,3.09178,https://leetcode.com/problems/longest-consecutive-sequence
