Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,2.07619,https://leetcode.com/problems/sort-colors
155,Min Stack,"Stack, Design",46.9%,Easy,0.687135,https://leetcode.com/problems/min-stack
167,Two Sum II - Input array is sorted,"Array, Two Pointers, Binary Search",55.8%,Easy,0.170838,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
202,Happy Number,"Hash Table, Math",51.4%,Easy,3.11196,https://leetcode.com/problems/happy-number
203,Remove Linked List Elements,Linked List,39.6%,Easy,53.005,https://leetcode.com/problems/remove-linked-list-elements
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,1.16568,https://leetcode.com/problems/insert-delete-getrandom-o1
593,Valid Square,Math,43.4%,Medium,100.0,https://leetcode.com/problems/valid-square
716,Max Stack,Design,43.2%,Easy,6.0099,https://leetcode.com/problems/max-stack
1206,Design Skiplist,Design,59.0%,Hard,0.0,https://leetcode.com/problems/design-skiplist
1668,Maximum Repeating Substring,String,38.6%,Easy,1.71911,https://leetcode.com/problems/maximum-repeating-substring
