Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,37.877,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,6.41107,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,3.78305,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,11.8188,https://leetcode.com/problems/longest-palindromic-substring
15,3Sum,"Array, Two Pointers",28.3%,Medium,6.31394,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,5.54989,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,29.8364,https://leetcode.com/problems/valid-parentheses
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,5.21527,https://leetcode.com/problems/remove-duplicates-from-sorted-array
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,5.65496,https://leetcode.com/problems/search-in-rotated-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,9.85485,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",59.9%,Medium,3.8842,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",41.5%,Medium,7.42122,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,15.1162,https://leetcode.com/problems/insert-interval
79,Word Search,"Array, Backtracking",37.3%,Medium,5.41203,https://leetcode.com/problems/word-search
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,40.6871,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,13.0882,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
127,Word Ladder,Breadth-first Search,32.3%,Hard,21.3188,https://leetcode.com/problems/word-ladder
155,Min Stack,"Stack, Design",46.9%,Easy,5.22066,https://leetcode.com/problems/min-stack
199,Binary Tree Right Side View,"Tree, Depth-first Search, Breadth-first Search, Recursion, Queue",56.7%,Medium,5.52303,https://leetcode.com/problems/binary-tree-right-side-view
206,Reverse Linked List,Linked List,65.9%,Easy,0.899256,https://leetcode.com/problems/reverse-linked-list
238,Product of Array Except Self,Array,61.4%,Medium,18.2787,https://leetcode.com/problems/product-of-array-except-self
242,Valid Anagram,"Hash Table, Sort",59.0%,Easy,10.4217,https://leetcode.com/problems/valid-anagram
268,Missing Number,"Array, Math, Bit Manipulation",55.4%,Easy,2.03855,https://leetcode.com/problems/missing-number
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,3.02051,https://leetcode.com/problems/move-zeroes
344,Reverse String,"Two Pointers, String",70.8%,Easy,4.88882,https://leetcode.com/problems/reverse-string
387,First Unique Character in a String,"Hash Table, String",54.0%,Easy,4.27762,https://leetcode.com/problems/first-unique-character-in-a-string
438,Find All Anagrams in a String,Hash Table,45.3%,Medium,4.95533,https://leetcode.com/problems/find-all-anagrams-in-a-string
560,Subarray Sum Equals K,"Array, Hash Table",43.7%,Medium,1.95225,https://leetcode.com/problems/subarray-sum-equals-k
653,Two Sum IV - Input is a BST,Tree,56.4%,Easy,70.3435,https://leetcode.com/problems/two-sum-iv-input-is-a-bst
706,Design HashMap,"Hash Table, Design",64.0%,Easy,100.0,https://leetcode.com/problems/design-hashmap
867,Transpose Matrix,Array,61.9%,Easy,13.1662,https://leetcode.com/problems/transpose-matrix
921,Minimum Add to Make Parentheses Valid,"Stack, Greedy",75.0%,Medium,19.8786,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
1290,Convert Binary Number in a Linked List to Integer,"Linked List, Bit Manipulation",81.7%,Easy,10.2337,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1329,Sort the Matrix Diagonally,"Array, Sort",81.6%,Medium,12.5545,https://leetcode.com/problems/sort-the-matrix-diagonally
