Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
14,Longest Common Prefix,String,36.3%,Easy,1.66085,https://leetcode.com/problems/longest-common-prefix
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.794351,https://leetcode.com/problems/letter-combinations-of-a-phone-number
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,0.396398,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,45.6%,Hard,2.54199,https://leetcode.com/problems/reverse-nodes-in-k-group
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,3.40116,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
36,Valid Sudoku,Hash Table,51.0%,Medium,41.8778,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,15.2835,https://leetcode.com/problems/sudoku-solver
39,Combination Sum,"Array, Backtracking",59.9%,Medium,5.37121,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,0.637032,https://leetcode.com/problems/combination-sum-ii
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,6.63019,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,5.0674,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,67.3%,Medium,0.638779,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,50.0%,Medium,0.639296,https://leetcode.com/problems/permutations-ii
49,Group Anagrams,"Hash Table, String",59.9%,Medium,2.20344,https://leetcode.com/problems/group-anagrams
54,Spiral Matrix,Array,36.7%,Medium,5.85611,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,5.95305,https://leetcode.com/problems/merge-intervals
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,1.0328,https://leetcode.com/problems/minimum-path-sum
67,Add Binary,"Math, String",47.4%,Easy,0.373514,https://leetcode.com/problems/add-binary
68,Text Justification,String,30.4%,Hard,45.4917,https://leetcode.com/problems/text-justification
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,15.2212,https://leetcode.com/problems/minimum-window-substring
79,Word Search,"Array, Backtracking",37.3%,Medium,53.2771,https://leetcode.com/problems/word-search
83,Remove Duplicates from Sorted List,Linked List,46.7%,Easy,0.389995,https://leetcode.com/problems/remove-duplicates-from-sorted-list
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,3.29863,https://leetcode.com/problems/decode-ways
96,Unique Binary Search Trees,"Dynamic Programming, Tree",54.8%,Medium,5.65374,https://leetcode.com/problems/unique-binary-search-trees
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,3.50947,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",23.9%,Hard,9.73486,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,32.3%,Hard,42.7608,https://leetcode.com/problems/word-ladder
139,Word Break,Dynamic Programming,42.0%,Medium,27.8723,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",35.6%,Hard,27.6653,https://leetcode.com/problems/word-break-ii
143,Reorder List,Linked List,41.3%,Medium,1.73994,https://leetcode.com/problems/reorder-list
146,LRU Cache,Design,36.4%,Medium,100.0,https://leetcode.com/problems/lru-cache
151,Reverse Words in a String,String,24.3%,Medium,1.1068,https://leetcode.com/problems/reverse-words-in-a-string
153,Find Minimum in Rotated Sorted Array,"Array, Binary Search",46.5%,Medium,0.893279,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
155,Min Stack,"Stack, Design",46.9%,Easy,2.0605,https://leetcode.com/problems/min-stack
161,One Edit Distance,String,33.2%,Medium,23.4604,https://leetcode.com/problems/one-edit-distance
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",60.3%,Easy,8.54523,https://leetcode.com/problems/majority-element
189,Rotate Array,Array,36.8%,Medium,0.327445,https://leetcode.com/problems/rotate-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,17.7026,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,1.56414,https://leetcode.com/problems/reverse-linked-list
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,18.9769,https://leetcode.com/problems/course-schedule-ii
212,Word Search II,"Backtracking, Trie",37.6%,Hard,70.5738,https://leetcode.com/problems/word-search-ii
224,Basic Calculator,"Math, Stack",38.3%,Hard,14.0154,https://leetcode.com/problems/basic-calculator
227,Basic Calculator II,"String, Stack",38.9%,Medium,37.6687,https://leetcode.com/problems/basic-calculator-ii
234,Palindrome Linked List,"Linked List, Two Pointers",42.2%,Easy,1.2202,https://leetcode.com/problems/palindrome-linked-list
238,Product of Array Except Self,Array,61.4%,Medium,2.61621,https://leetcode.com/problems/product-of-array-except-self
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,1.85244,https://leetcode.com/problems/sliding-window-maximum
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,34.9568,https://leetcode.com/problems/meeting-rooms-ii
269,Alien Dictionary,"Graph, Topological Sort",33.8%,Hard,24.5445,https://leetcode.com/problems/alien-dictionary
270,Closest Binary Search Tree Value,"Binary Search, Tree",50.5%,Easy,0.0,https://leetcode.com/problems/closest-binary-search-tree-value
277,Find the Celebrity,Array,44.2%,Medium,5.28391,https://leetcode.com/problems/find-the-celebrity
282,Expression Add Operators,Divide and Conquer,37.0%,Hard,8.2565,https://leetcode.com/problems/expression-add-operators
289,Game of Life,Array,59.0%,Medium,31.5944,https://leetcode.com/problems/game-of-life
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,13.513,https://leetcode.com/problems/find-median-from-data-stream
296,Best Meeting Point,"Math, Sort",58.2%,Hard,85.2869,https://leetcode.com/problems/best-meeting-point
297,Serialize and Deserialize Binary Tree,"Tree, Design",50.4%,Hard,1.84744,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
310,Minimum Height Trees,"Breadth-first Search, Graph",34.9%,Medium,7.22376,https://leetcode.com/problems/minimum-height-trees
311,Sparse Matrix Multiplication,Hash Table,64.2%,Medium,29.052,https://leetcode.com/problems/sparse-matrix-multiplication
312,Burst Balloons,"Divide and Conquer, Dynamic Programming",54.0%,Hard,0.0,https://leetcode.com/problems/burst-balloons
314,Binary Tree Vertical Order Traversal,"Depth-first Search, Breadth-first Search",47.4%,Medium,5.42745,https://leetcode.com/problems/binary-tree-vertical-order-traversal
317,Shortest Distance from All Buildings,Breadth-first Search,43.0%,Hard,39.8678,https://leetcode.com/problems/shortest-distance-from-all-buildings
329,Longest Increasing Path in a Matrix,"Depth-first Search, Topological Sort, Memoization",46.4%,Hard,1.38114,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,53.5513,https://leetcode.com/problems/reconstruct-itinerary
340,Longest Substring with At Most K Distinct Characters,"Hash Table, Two Pointers, String, Sliding Window",45.8%,Medium,3.53763,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
347,Top K Frequent Elements,"Hash Table, Heap",62.7%,Medium,2.11835,https://leetcode.com/problems/top-k-frequent-elements
362,Design Hit Counter,Design,65.6%,Medium,10.668,https://leetcode.com/problems/design-hit-counter
377,Combination Sum IV,Dynamic Programming,47.1%,Medium,0.256987,https://leetcode.com/problems/combination-sum-iv
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,3.48566,https://leetcode.com/problems/insert-delete-getrandom-o1
394,Decode String,"Stack, Depth-first Search",53.1%,Medium,12.6287,https://leetcode.com/problems/decode-string
402,Remove K Digits,"Stack, Greedy",28.7%,Medium,0.0,https://leetcode.com/problems/remove-k-digits
403,Frog Jump,Dynamic Programming,41.8%,Hard,45.8016,https://leetcode.com/problems/frog-jump
415,Add Strings,String,48.6%,Easy,14.6308,https://leetcode.com/problems/add-strings
438,Find All Anagrams in a String,Hash Table,45.3%,Medium,8.32518,https://leetcode.com/problems/find-all-anagrams-in-a-string
439,Ternary Expression Parser,"Stack, Depth-first Search",56.9%,Medium,43.663,https://leetcode.com/problems/ternary-expression-parser
443,String Compression,String,44.3%,Medium,0.0,https://leetcode.com/problems/string-compression
480,Sliding Window Median,Sliding Window,39.0%,Hard,8.73819,https://leetcode.com/problems/sliding-window-median
505,The Maze II,"Depth-first Search, Breadth-first Search",48.7%,Medium,51.8692,https://leetcode.com/problems/the-maze-ii
527,Word Abbreviation,"String, Sort",56.5%,Hard,68.2005,https://leetcode.com/problems/word-abbreviation
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,4.62814,https://leetcode.com/problems/random-pick-with-weight
547,Number of Provinces,"Depth-first Search, Union Find",60.9%,Medium,1.29051,https://leetcode.com/problems/number-of-provinces
557,Reverse Words in a String III,String,72.5%,Easy,2.15791,https://leetcode.com/problems/reverse-words-in-a-string-iii
621,Task Scheduler,"Array, Greedy, Queue",52.4%,Medium,4.08558,https://leetcode.com/problems/task-scheduler
632,Smallest Range Covering Elements from K Lists,"Hash Table, Two Pointers, String",54.7%,Hard,12.5887,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
635,Design Log Storage System,"String, Design",60.2%,Medium,17.6907,https://leetcode.com/problems/design-log-storage-system
642,Design Search Autocomplete System,"Design, Trie",46.6%,Hard,8.84571,https://leetcode.com/problems/design-search-autocomplete-system
658,Find K Closest Elements,Binary Search,42.4%,Medium,4.12844,https://leetcode.com/problems/find-k-closest-elements
679,24 Game,Depth-first Search,47.3%,Hard,19.8731,https://leetcode.com/problems/24-game
733,Flood Fill,Depth-first Search,56.0%,Easy,3.65909,https://leetcode.com/problems/flood-fill
772,Basic Calculator III,"String, Stack",44.3%,Hard,62.7482,https://leetcode.com/problems/basic-calculator-iii
787,Cheapest Flights Within K Stops,"Dynamic Programming, Heap, Breadth-first Search",39.7%,Medium,1.29402,https://leetcode.com/problems/cheapest-flights-within-k-stops
839,Similar String Groups,"Depth-first Search, Union Find, Graph",41.8%,Hard,8.0671,https://leetcode.com/problems/similar-string-groups
934,Shortest Bridge,"Depth-first Search, Breadth-first Search",50.0%,Medium,4.93055,https://leetcode.com/problems/shortest-bridge
939,Minimum Area Rectangle,Hash Table,52.3%,Medium,10.0377,https://leetcode.com/problems/minimum-area-rectangle
964,Least Operators to Express Number,"Math, Dynamic Programming",45.3%,Hard,0.0,https://leetcode.com/problems/least-operators-to-express-number
981,Time Based Key-Value Store,"Hash Table, Binary Search",54.3%,Medium,2.56155,https://leetcode.com/problems/time-based-key-value-store
986,Interval List Intersections,Two Pointers,68.6%,Medium,5.08,https://leetcode.com/problems/interval-list-intersections
1031,Maximum Sum of Two Non-Overlapping Subarrays,Array,58.8%,Medium,4.91558,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays
1091,Shortest Path in Binary Matrix,Breadth-first Search,40.2%,Medium,3.22374,https://leetcode.com/problems/shortest-path-in-binary-matrix
1146,Snapshot Array,Array,36.9%,Medium,3.39694,https://leetcode.com/problems/snapshot-array
1754,Largest Merge Of Two Strings,"Greedy, Suffix Array",40.9%,Medium,0.0,https://leetcode.com/problems/largest-merge-of-two-strings
