Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,1.40079,https://leetcode.com/problems/two-sum
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,4.35711,https://leetcode.com/problems/regular-expression-matching
12,Integer to Roman,"Math, String",57.2%,Medium,1.4461,https://leetcode.com/problems/integer-to-roman
20,Valid Parentheses,"String, Stack",40.0%,Easy,9.99948,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,2.6085,https://leetcode.com/problems/merge-k-sorted-lists
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.416689,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,4.3993,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",35.2%,Medium,1.26232,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,0.441903,https://leetcode.com/problems/wildcard-matching
56,Merge Intervals,"Array, Sort",41.5%,Medium,6.77643,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,24.8716,https://leetcode.com/problems/insert-interval
60,Permutation Sequence,"Math, Backtracking",39.7%,Hard,1.84473,https://leetcode.com/problems/permutation-sequence
68,Text Justification,String,30.4%,Hard,7.29789,https://leetcode.com/problems/text-justification
79,Word Search,"Array, Backtracking",37.3%,Medium,0.984736,https://leetcode.com/problems/word-search
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,4.10005,https://leetcode.com/problems/largest-rectangle-in-histogram
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,0.120435,https://leetcode.com/problems/symmetric-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,0.399725,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
118,Pascal's Triangle,Array,55.7%,Easy,0.238514,https://leetcode.com/problems/pascals-triangle
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,0.583661,https://leetcode.com/problems/longest-consecutive-sequence
133,Clone Graph,"Depth-first Search, Breadth-first Search, Graph",40.1%,Medium,3.19757,https://leetcode.com/problems/clone-graph
139,Word Break,Dynamic Programming,42.0%,Medium,3.63866,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",35.6%,Hard,1.11075,https://leetcode.com/problems/word-break-ii
146,LRU Cache,Design,36.4%,Medium,7.65386,https://leetcode.com/problems/lru-cache
149,Max Points on a Line,"Hash Table, Math",17.8%,Hard,3.86511,https://leetcode.com/problems/max-points-on-a-line
155,Min Stack,"Stack, Design",46.9%,Easy,0.177784,https://leetcode.com/problems/min-stack
161,One Edit Distance,String,33.2%,Medium,5.58178,https://leetcode.com/problems/one-edit-distance
198,House Robber,Dynamic Programming,43.2%,Medium,0.30966,https://leetcode.com/problems/house-robber
202,Happy Number,"Hash Table, Math",51.4%,Easy,1.05744,https://leetcode.com/problems/happy-number
206,Reverse Linked List,Linked List,65.9%,Easy,0.274043,https://leetcode.com/problems/reverse-linked-list
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,3.25019,https://leetcode.com/problems/implement-trie-prefix-tree
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,0.631752,https://leetcode.com/problems/course-schedule-ii
212,Word Search II,"Backtracking, Trie",37.6%,Hard,5.97734,https://leetcode.com/problems/word-search-ii
218,The Skyline Problem,"Divide and Conquer, Heap, Binary Indexed Tree, Segment Tree, Line Sweep",36.7%,Hard,7.71339,https://leetcode.com/problems/the-skyline-problem
221,Maximal Square,Dynamic Programming,39.7%,Medium,3.45363,https://leetcode.com/problems/maximal-square
235,Lowest Common Ancestor of a Binary Search Tree,Tree,52.3%,Easy,0.787791,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
238,Product of Array Except Self,Array,61.4%,Medium,1.78,https://leetcode.com/problems/product-of-array-except-self
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,1.32206,https://leetcode.com/problems/sliding-window-maximum
251,Flatten 2D Vector,Design,46.5%,Medium,3.76356,https://leetcode.com/problems/flatten-2d-vector
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,1.10064,https://leetcode.com/problems/meeting-rooms-ii
256,Paint House,Dynamic Programming,54.1%,Medium,32.0973,https://leetcode.com/problems/paint-house
269,Alien Dictionary,"Graph, Topological Sort",33.8%,Hard,21.6696,https://leetcode.com/problems/alien-dictionary
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,7.7151,https://leetcode.com/problems/find-median-from-data-stream
296,Best Meeting Point,"Math, Sort",58.2%,Hard,29.1067,https://leetcode.com/problems/best-meeting-point
300,Longest Increasing Subsequence,"Binary Search, Dynamic Programming",44.7%,Medium,2.44767,https://leetcode.com/problems/longest-increasing-subsequence
307,Range Sum Query - Mutable,"Binary Indexed Tree, Segment Tree",37.1%,Medium,5.11499,https://leetcode.com/problems/range-sum-query-mutable
323,Number of Connected Components in an Undirected Graph,"Depth-first Search, Breadth-first Search, Union Find, Graph",58.4%,Medium,0.0,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,1.3032,https://leetcode.com/problems/reconstruct-itinerary
340,Longest Substring with At Most K Distinct Characters,"Hash Table, Two Pointers, String, Sliding Window",45.8%,Medium,0.213546,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
341,Flatten Nested List Iterator,"Stack, Design",56.0%,Medium,11.8811,https://leetcode.com/problems/flatten-nested-list-iterator
355,Design Twitter,"Hash Table, Heap, Design",31.7%,Medium,19.8446,https://leetcode.com/problems/design-twitter
378,Kth Smallest Element in a Sorted Matrix,"Binary Search, Heap",56.6%,Medium,0.0,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,13.8521,https://leetcode.com/problems/insert-delete-getrandom-o1
387,First Unique Character in a String,"Hash Table, String",54.0%,Easy,0.0648644,https://leetcode.com/problems/first-unique-character-in-a-string
407,Trapping Rain Water II,"Heap, Breadth-first Search",44.6%,Hard,1.00593,https://leetcode.com/problems/trapping-rain-water-ii
433,Minimum Genetic Mutation,,43.7%,Medium,100.0,https://leetcode.com/problems/minimum-genetic-mutation
468,Validate IP Address,String,25.1%,Medium,19.0903,https://leetcode.com/problems/validate-ip-address
496,Next Greater Element I,Stack,66.0%,Easy,0.4526,https://leetcode.com/problems/next-greater-element-i
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,2.10747,https://leetcode.com/problems/random-pick-with-weight
532,K-diff Pairs in an Array,"Array, Two Pointers",35.6%,Medium,12.0205,https://leetcode.com/problems/k-diff-pairs-in-an-array
540,Single Element in a Sorted Array,Binary Search,57.9%,Medium,3.7622,https://leetcode.com/problems/single-element-in-a-sorted-array
547,Number of Provinces,"Depth-first Search, Union Find",60.9%,Medium,7.36872,https://leetcode.com/problems/number-of-provinces
580,Count Student Number in Departments,,52.4%,Medium,6.97227,https://leetcode.com/problems/count-student-number-in-departments
585,Investments in 2016,,57.5%,Medium,15.4463,https://leetcode.com/problems/investments-in-2016
586,Customer Placing the Largest Number of Orders,,75.5%,Easy,1.74847,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders
608,Tree Node,,70.1%,Medium,22.4493,https://leetcode.com/problems/tree-node
635,Design Log Storage System,"String, Design",60.2%,Medium,77.0274,https://leetcode.com/problems/design-log-storage-system
647,Palindromic Substrings,"String, Dynamic Programming",62.8%,Medium,6.08132,https://leetcode.com/problems/palindromic-substrings
679,24 Game,Depth-first Search,47.3%,Hard,22.5605,https://leetcode.com/problems/24-game
697,Degree of an Array,Array,54.5%,Easy,0.977208,https://leetcode.com/problems/degree-of-an-array
706,Design HashMap,"Hash Table, Design",64.0%,Easy,7.45277,https://leetcode.com/problems/design-hashmap
716,Max Stack,Design,43.2%,Easy,1.80388,https://leetcode.com/problems/max-stack
721,Accounts Merge,"Depth-first Search, Union Find",52.5%,Medium,2.22095,https://leetcode.com/problems/accounts-merge
724,Find Pivot Index,Array,46.3%,Easy,1.21524,https://leetcode.com/problems/find-pivot-index
739,Daily Temperatures,"Hash Table, Stack",64.9%,Medium,0.333238,https://leetcode.com/problems/daily-temperatures
767,Reorganize String,"String, Heap, Greedy, Sort",50.3%,Medium,1.4251,https://leetcode.com/problems/reorganize-string
780,Reaching Points,Math,30.5%,Hard,50.6504,https://leetcode.com/problems/reaching-points
831,Masking Personal Information,String,44.8%,Medium,10.2754,https://leetcode.com/problems/masking-personal-information
868,Binary Gap,Math,61.0%,Easy,0.0,https://leetcode.com/problems/binary-gap
920,Number of Music Playlists,Dynamic Programming,48.2%,Hard,6.19546,https://leetcode.com/problems/number-of-music-playlists
945,Minimum Increment to Make Array Unique,Array,46.9%,Medium,9.42091,https://leetcode.com/problems/minimum-increment-to-make-array-unique
981,Time Based Key-Value Store,"Hash Table, Binary Search",54.3%,Medium,1.65183,https://leetcode.com/problems/time-based-key-value-store
1041,Robot Bounded In Circle,Math,55.1%,Medium,0.128435,https://leetcode.com/problems/robot-bounded-in-circle
1151,Minimum Swaps to Group All 1's Together,"Array, Sliding Window",58.7%,Medium,0.497373,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together
