Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,3.6802,https://leetcode.com/problems/median-of-two-sorted-arrays
20,Valid Parentheses,"String, Stack",40.0%,Easy,4.27887,https://leetcode.com/problems/valid-parentheses
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,0.0,https://leetcode.com/problems/generate-parentheses
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,86.3607,https://leetcode.com/problems/trapping-rain-water
52,N-Queens II,Backtracking,60.8%,Hard,100.0,https://leetcode.com/problems/n-queens-ii
109,Convert Sorted List to Binary Search Tree,"Linked List, Depth-first Search",50.8%,Medium,25.0853,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
125,Valid Palindrome,"Two Pointers, String",38.6%,Easy,0.0,https://leetcode.com/problems/valid-palindrome
146,LRU Cache,Design,36.4%,Medium,9.4289,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",46.9%,Easy,0.0,https://leetcode.com/problems/min-stack
168,Excel Sheet Column Title,Math,32.0%,Easy,0.0,https://leetcode.com/problems/excel-sheet-column-title
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",60.3%,Easy,0.0,https://leetcode.com/problems/majority-element
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,3.51753,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,13.8099,https://leetcode.com/problems/reverse-linked-list
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",44.3%,Medium,0.0,https://leetcode.com/problems/course-schedule
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,15.0834,https://leetcode.com/problems/course-schedule-ii
229,Majority Element II,Array,39.1%,Medium,0.0,https://leetcode.com/problems/majority-element-ii
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,0.0,https://leetcode.com/problems/sliding-window-maximum
251,Flatten 2D Vector,Design,46.5%,Medium,37.2849,https://leetcode.com/problems/flatten-2d-vector
255,Verify Preorder Sequence in Binary Search Tree,"Stack, Tree",46.5%,Medium,61.8228,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree
261,Graph Valid Tree,"Depth-first Search, Breadth-first Search, Union Find, Graph",43.4%,Medium,0.0,https://leetcode.com/problems/graph-valid-tree
317,Shortest Distance from All Buildings,Breadth-first Search,43.0%,Hard,21.578,https://leetcode.com/problems/shortest-distance-from-all-buildings
