Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,24.9541,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,1.81482,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,15.1927,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,7.20163,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,15.8466,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,38.4%,Medium,5.04783,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,26.0%,Easy,2.87769,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,7.13889,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,50.2%,Easy,1.59439,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,3.30092,https://leetcode.com/problems/regular-expression-matching
13,Roman to Integer,"Math, String",57.1%,Easy,1.33027,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,1.85499,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,15.0456,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,5.00607,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,11.5548,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,3.06454,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,3.02264,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,26.8822,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,1.75934,https://leetcode.com/problems/swap-nodes-in-pairs
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,0.53437,https://leetcode.com/problems/remove-duplicates-from-sorted-array
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,1.16257,https://leetcode.com/problems/implement-strstr
31,Next Permutation,Array,33.9%,Medium,2.42491,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,0.704322,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,12.0209,https://leetcode.com/problems/search-in-rotated-sorted-array
39,Combination Sum,"Array, Backtracking",59.9%,Medium,9.22243,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,1.59383,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,34.1%,Hard,3.95373,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,3.98469,https://leetcode.com/problems/trapping-rain-water
46,Permutations,Backtracking,67.3%,Medium,14.4946,https://leetcode.com/problems/permutations
48,Rotate Image,Array,61.1%,Medium,3.12856,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,22.3111,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,10.0654,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,50.4%,Hard,16.8547,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,7.81295,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,29.4438,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,8.94568,https://leetcode.com/problems/merge-intervals
