ChapterSerial,Chapter,ProblemSerial,Problem,Id,Acceptance,Difficulty,Frequency,Link
1,Array and Strings,1,Two Sum,1,46.8%,Easy,100.0,https://leetcode.com/problems/two-sum
1,Array and Strings,2,Longest Substring Without Repeating Characters,3,31.6%,Medium,92.3569,https://leetcode.com/problems/longest-substring-without-repeating-characters
1,Array and Strings,3,3Sum,15,28.3%,Medium,84.1112,https://leetcode.com/problems/3sum
1,Array and Strings,4,Valid Anagram,242,59.0%,Easy,60.963,https://leetcode.com/problems/valid-anagram
1,Array and Strings,5,Spiral Matrix,54,36.7%,Medium,75.9198,https://leetcode.com/problems/spiral-matrix
1,Array and Strings,6,Merge Sorted Array,88,40.9%,Easy,74.0362,https://leetcode.com/problems/merge-sorted-array
1,Array and Strings,7,Pascal's Triangle,118,55.7%,Easy,45.3914,https://leetcode.com/problems/pascals-triangle
1,Array and Strings,8,Integer to English Words,273,28.4%,Hard,86.1401,https://leetcode.com/problems/integer-to-english-words
1,Array and Strings,9,Move Zeroes,283,58.7%,Easy,65.3263,https://leetcode.com/problems/move-zeroes
1,Array and Strings,10,First Unique Character in a String,387,54.0%,Easy,64.8481,https://leetcode.com/problems/first-unique-character-in-a-string
1,Array and Strings,11,String Compression,443,44.3%,Medium,78.9901,https://leetcode.com/problems/string-compression
1,Array and Strings,12,Subarray Sum Equals K,560,43.7%,Medium,83.8682,https://leetcode.com/problems/subarray-sum-equals-k
1,Array and Strings,13,Candy Crush,723,73.2%,Medium,52.3369,https://leetcode.com/problems/candy-crush
2,Linked List,1,Add Two Numbers,2,35.8%,Medium,94.0322,https://leetcode.com/problems/add-two-numbers
2,Linked List,2,Merge Two Sorted Lists,21,56.5%,Easy,70.8243,https://leetcode.com/problems/merge-two-sorted-lists
2,Linked List,3,Reverse Linked List II,92,40.9%,Medium,64.4779,https://leetcode.com/problems/reverse-linked-list-ii
2,Linked List,4,Copy List with Random Pointer,138,41.7%,Medium,73.3576,https://leetcode.com/problems/copy-list-with-random-pointer
2,Linked List,5,Reverse Linked List,206,65.9%,Easy,88.1964,https://leetcode.com/problems/reverse-linked-list
2,Linked List,6,Add Two Numbers II,445,56.7%,Medium,68.2008,https://leetcode.com/problems/add-two-numbers-ii
3,Trees and Graphs,1,Validate Binary Search Tree,98,29.0%,Medium,64.1727,https://leetcode.com/problems/validate-binary-search-tree
3,Trees and Graphs,2,Construct Binary Tree from Preorder and Inorder Traversal,105,52.6%,Medium,60.886,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
3,Trees and Graphs,3,Flatten Binary Tree to Linked List,114,52.6%,Medium,35.3561,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
