ChapterSerial,Chapter,ProblemSerial,Problem,Id,Acceptance,Difficulty,Frequency,Link
1,Arrays and Strings,1,Longest Substring Without Repeating Characters,3,31.6%,Medium,92.3569,https://leetcode.com/problems/longest-substring-without-repeating-characters
1,Arrays and Strings,2,String to Integer (atoi),8,15.8%,Medium,57.1415,https://leetcode.com/problems/string-to-integer-atoi
1,Arrays and Strings,3,Roman to Integer,13,57.1%,Easy,66.2213,https://leetcode.com/problems/roman-to-integer
1,Arrays and Strings,4,3Sum,15,28.3%,Medium,84.1112,https://leetcode.com/problems/3sum
1,Arrays and Strings,5,Remove Duplicates from Sorted Array,26,46.9%,Easy,37.0387,https://leetcode.com/problems/remove-duplicates-from-sorted-array
1,Arrays and Strings,6,Next Permutation,31,33.9%,Medium,85.6096,https://leetcode.com/problems/next-permutation
1,Arrays and Strings,7,Multiply Strings,43,35.2%,Medium,58.1043,https://leetcode.com/problems/multiply-strings
1,Arrays and Strings,8,Group Anagrams,49,59.9%,Medium,82.0205,https://leetcode.com/problems/group-anagrams
1,Arrays and Strings,9,Add Binary,67,47.4%,Easy,66.5566,https://leetcode.com/problems/add-binary
1,Arrays and Strings,10,Minimum Window Substring,76,36.3%,Hard,68.6909,https://leetcode.com/problems/minimum-window-substring
1,Arrays and Strings,11,Merge Sorted Array,88,40.9%,Easy,74.0362,https://leetcode.com/problems/merge-sorted-array
1,Arrays and Strings,12,Valid Palindrome,125,38.6%,Easy,67.5544,https://leetcode.com/problems/valid-palindrome
1,Arrays and Strings,13,Read N Characters Given Read4,157,37.8%,Easy,18.2117,https://leetcode.com/problems/read-n-characters-given-read4
1,Arrays and Strings,14,Read N Characters Given Read4 II - Call multiple times,158,37.6%,Hard,58.9295,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
1,Arrays and Strings,15,One Edit Distance,161,33.2%,Medium,23.7409,https://leetcode.com/problems/one-edit-distance
1,Arrays and Strings,16,Product of Array Except Self,238,61.4%,Medium,91.5417,https://leetcode.com/problems/product-of-array-except-self
1,Arrays and Strings,17,Integer to English Words,273,28.4%,Hard,86.1401,https://leetcode.com/problems/integer-to-english-words
1,Arrays and Strings,18,Move Zeroes,283,58.7%,Easy,65.3263,https://leetcode.com/problems/move-zeroes
1,Arrays and Strings,19,Longest Substring with At Most K Distinct Characters,340,45.8%,Medium,45.3488,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
1,Arrays and Strings,20,Validate IP Address,468,25.1%,Medium,39.5648,https://leetcode.com/problems/validate-ip-address
1,Arrays and Strings,21,Subarray Sum Equals K,560,43.7%,Medium,83.8682,https://leetcode.com/problems/subarray-sum-equals-k
1,Arrays and Strings,22,Valid Palindrome II,680,37.2%,Easy,72.8428,https://leetcode.com/problems/valid-palindrome-ii
2,Linked Lists,1,Add Two Numbers,2,35.8%,Medium,94.0322,https://leetcode.com/problems/add-two-numbers
2,Linked Lists,2,Merge Two Sorted Lists,21,56.5%,Easy,70.8243,https://leetcode.com/problems/merge-two-sorted-lists
2,Linked Lists,3,Copy List with Random Pointer,138,41.7%,Medium,73.3576,https://leetcode.com/problems/copy-list-with-random-pointer
2,Linked Lists,4,Reorder List,143,41.3%,Medium,49.3626,https://leetcode.com/problems/reorder-list
3,Trees and Graphs,1,Validate Binary Search Tree,98,29.0%,Medium,64.1727,https://leetcode.com/problems/validate-binary-search-tree
3,Trees and Graphs,2,Flatten Binary Tree to Linked List,114,52.6%,Medium,35.3561,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
3,Trees and Graphs,3,Binary Tree Maximum Path Sum,124,35.7%,Hard,70.8848,https://leetcode.com/problems/binary-tree-maximum-path-sum
3,Trees and Graphs,4,Clone Graph,133,40.1%,Medium,50.7446,https://leetcode.com/problems/clone-graph
3,Trees and Graphs,5,Binary Tree Right Side View,199,56.7%,Medium,70.7477,https://leetcode.com/problems/binary-tree-right-side-view
3,Trees and Graphs,6,Number of Islands,200,49.7%,Medium,97.487,https://leetcode.com/problems/number-of-islands
3,Trees and Graphs,7,Lowest Common Ancestor of a Binary Tree,236,49.6%,Medium,76.4407,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
3,Trees and Graphs,8,Binary Tree Paths,257,54.2%,Easy,34.891,https://leetcode.com/problems/binary-tree-paths
3,Trees and Graphs,9,Alien Dictionary,269,33.8%,Hard,75.8192,https://leetcode.com/problems/alien-dictionary
3,Trees and Graphs,10,Shortest Distance from All Buildings,317,43.0%,Hard,42.4618,https://leetcode.com/problems/shortest-distance-from-all-buildings
3,Trees and Graphs,11,Diameter of Binary Tree,543,49.7%,Easy,59.4394,https://leetcode.com/problems/diameter-of-binary-tree
3,Trees and Graphs,12,Accounts Merge,721,52.5%,Medium,67.7866,https://leetcode.com/problems/accounts-merge
3,Trees and Graphs,13,Convert Binary Search Tree to Sorted Doubly Linked List,426,61.7%,Medium,51.4271,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
3,Trees and Graphs,14,Is Graph Bipartite?,785,48.8%,Medium,48.3033,https://leetcode.com/problems/is-graph-bipartite
3,Trees and Graphs,15,Binary Tree Vertical Order Traversal,314,47.4%,Medium,39.1772,https://leetcode.com/problems/binary-tree-vertical-order-traversal
4,Recursion,1,Letter Combinations of a Phone Number,17,50.0%,Medium,60.975,https://leetcode.com/problems/letter-combinations-of-a-phone-number
4,Recursion,2,Permutations,46,67.3%,Medium,59.2711,https://leetcode.com/problems/permutations
4,Recursion,3,Permutations II,47,50.0%,Medium,21.6564,https://leetcode.com/problems/permutations-ii
4,Recursion,4,Remove Invalid Parentheses,301,45.0%,Hard,65.7782,https://leetcode.com/problems/remove-invalid-parentheses
4,Recursion,5,Regular Expression Matching,10,27.5%,Hard,73.6156,https://leetcode.com/problems/regular-expression-matching
4,Recursion,6,Subsets,78,65.8%,Medium,48.7885,https://leetcode.com/problems/subsets
4,Recursion,7,Strobogrammatic Number II,247,48.9%,Medium,23.2847,https://leetcode.com/problems/strobogrammatic-number-ii
5,Sorting and Searching,1,Divide Two Integers,29,16.9%,Medium,46.7146,https://leetcode.com/problems/divide-two-integers
5,Sorting and Searching,2,Search in Rotated Sorted Array,33,36.2%,Medium,76.8435,https://leetcode.com/problems/search-in-rotated-sorted-array
5,Sorting and Searching,3,Find First and Last Position of Element in Sorted Array,34,37.6%,Medium,57.7047,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
5,Sorting and Searching,4,"Pow(x, n)",50,31.1%,Medium,66.3668,https://leetcode.com/problems/powx-n
5,Sorting and Searching,5,Merge Intervals,56,41.5%,Medium,97.3828,https://leetcode.com/problems/merge-intervals
5,Sorting and Searching,6,Find Peak Element,162,44.1%,Medium,53.5213,https://leetcode.com/problems/find-peak-element
5,Sorting and Searching,7,First Bad Version,278,37.9%,Easy,47.2198,https://leetcode.com/problems/first-bad-version
5,Sorting and Searching,8,Intersection of Two Arrays,349,65.5%,Easy,43.3294,https://leetcode.com/problems/intersection-of-two-arrays
5,Sorting and Searching,9,Intersection of Two Arrays II,350,52.2%,Easy,33.4644,https://leetcode.com/problems/intersection-of-two-arrays-ii
6,Dynamic Programming,1,Longest Palindromic Substring,5,30.7%,Medium,86.0281,https://leetcode.com/problems/longest-palindromic-substring
6,Dynamic Programming,2,Longest Valid Parentheses,32,29.9%,Hard,26.3606,https://leetcode.com/problems/longest-valid-parentheses
6,Dynamic Programming,3,Decode Ways,91,27.0%,Medium,92.0483,https://leetcode.com/problems/decode-ways
6,Dynamic Programming,4,Best Time to Buy and Sell Stock,121,51.9%,Easy,94.8698,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
6,Dynamic Programming,5,Word Break,139,42.0%,Medium,82.3162,https://leetcode.com/problems/word-break
6,Dynamic Programming,6,Range Sum Query 2D - Immutable,304,41.4%,Medium,36.7763,https://leetcode.com/problems/range-sum-query-2d-immutable
6,Dynamic Programming,7,Continuous Subarray Sum,523,24.9%,Medium,48.429,https://leetcode.com/problems/continuous-subarray-sum
7,Design,1,LRU Cache,146,36.4%,Medium,98.3247,https://leetcode.com/problems/lru-cache
7,Design,2,Binary Search Tree Iterator,173,60.8%,Medium,60.869,https://leetcode.com/problems/binary-search-tree-iterator
7,Design,3,Add and Search Word - Data structure design,,,,,
7,Design,4,Serialize and Deserialize Binary Tree,297,50.4%,Hard,76.6441,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
8,Others,1,Expression Add Operators,282,37.0%,Hard,42.6394,https://leetcode.com/problems/expression-add-operators
8,Others,2,Find All Anagrams in a String,438,45.3%,Medium,45.2455,https://leetcode.com/problems/find-all-anagrams-in-a-string
8,Others,3,Permutation in String,567,44.6%,Medium,35.6285,https://leetcode.com/problems/permutation-in-string
8,Others,4,Verifying an Alien Dictionary,953,52.5%,Easy,77.1406,https://leetcode.com/problems/verifying-an-alien-dictionary
8,Others,5,Interval List Intersections,986,68.6%,Medium,59.7755,https://leetcode.com/problems/interval-list-intersections
9,SQL,1,Second Highest Salary,176,33.6%,Easy,77.7069,https://leetcode.com/problems/second-highest-salary
9,SQL,2,Nth Highest Salary,177,33.7%,Medium,59.7434,https://leetcode.com/problems/nth-highest-salary
9,SQL,3,Customers Who Never Order,183,57.7%,Easy,11.5306,https://leetcode.com/problems/customers-who-never-order
9,SQL,4,Friend Requests I: Overall Acceptance Rate,597,42.0%,Easy,6.37146,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate
9,SQL,5,Friend Requests II: Who Has the Most Friends,602,58.0%,Medium,0.0,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends
9,SQL,6,Department Top Three Salaries,185,40.1%,Hard,31.1594,https://leetcode.com/problems/department-top-three-salaries
