ChapterSerial,Chapter,ProblemSerial,Problem,Id,Acceptance,Difficulty,Frequency,Link
1,Arrays and Strings,1,Two Sum,1,46.8%,Easy,100.0,https://leetcode.com/problems/two-sum
1,Arrays and Strings,2,Find First and Last Position of Element in Sorted Array,34,37.6%,Medium,57.7047,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
1,Arrays and Strings,3,Group Anagrams,49,59.9%,Medium,82.0205,https://leetcode.com/problems/group-anagrams
1,Arrays and Strings,4,Text Justification,68,30.4%,Hard,95.7075,https://leetcode.com/problems/text-justification
1,Arrays and Strings,5,Minimum Window Substring,76,36.3%,Hard,68.6909,https://leetcode.com/problems/minimum-window-substring
1,Arrays and Strings,6,Validate IP Address,468,25.1%,Medium,39.5648,https://leetcode.com/problems/validate-ip-address
2,Linked Lists,1,Merge Two Sorted Lists,21,56.5%,Easy,70.8243,https://leetcode.com/problems/merge-two-sorted-lists
2,Linked Lists,2,Merge k Sorted Lists,23,43.2%,Hard,85.7455,https://leetcode.com/problems/merge-k-sorted-lists
3,Trees and Graphs,1,Reconstruct Itinerary,332,38.3%,Medium,69.1008,https://leetcode.com/problems/reconstruct-itinerary
3,Trees and Graphs,2,Evaluate Division,399,54.7%,Medium,50.6384,https://leetcode.com/problems/evaluate-division
3,Trees and Graphs,3,Find Duplicate Subtrees,652,53.2%,Medium,37.2129,https://leetcode.com/problems/find-duplicate-subtrees
3,Trees and Graphs,4,Print Binary Tree,655,56.4%,Medium,22.6085,https://leetcode.com/problems/print-binary-tree
3,Trees and Graphs,5,Serialize and Deserialize N-ary Tree,428,61.9%,Hard,46.5156,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
4,"Heaps, Queues, and, Stacks",1,Trapping Rain Water,42,51.8%,Hard,96.5452,https://leetcode.com/problems/trapping-rain-water
4,"Heaps, Queues, and, Stacks",2,Basic Calculator,224,38.3%,Hard,89.8663,https://leetcode.com/problems/basic-calculator
4,"Heaps, Queues, and, Stacks",3,Meeting Rooms II,253,47.2%,Medium,88.1098,https://leetcode.com/problems/meeting-rooms-ii
4,"Heaps, Queues, and, Stacks",4,Task Scheduler,621,52.4%,Medium,67.8455,https://leetcode.com/problems/task-scheduler
4,"Heaps, Queues, and, Stacks",5,Exclusive Time of Functions,636,55.2%,Medium,60.8986,https://leetcode.com/problems/exclusive-time-of-functions
4,"Heaps, Queues, and, Stacks",6,Employee Free Time,759,68.6%,Hard,78.537,https://leetcode.com/problems/employee-free-time
