Id,Title,Acceptance,Difficulty,Frequency,Link
1,Two Sum,46.80%,Easy,100,https://leetcode.com/problems/two-sum
1041,Robot Bounded In Circle,55.10%,Medium,99.1623,https://leetcode.com/problems/robot-bounded-in-circle
146,LRU Cache,36.40%,Medium,98.3247,https://leetcode.com/problems/lru-cache
200,Number of Islands,49.70%,Medium,97.487,https://leetcode.com/problems/number-of-islands
56,Merge Intervals,41.50%,Medium,97.3828,https://leetcode.com/problems/merge-intervals
42,Trapping Rain Water,51.80%,Hard,96.5452,https://leetcode.com/problems/trapping-rain-water
68,Text Justification,30.40%,Hard,95.7075,https://leetcode.com/problems/text-justification
121,Best Time to Buy and Sell Stock,51.90%,Easy,94.8698,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
2,Add Two Numbers,35.80%,Medium,94.0322,https://leetcode.com/problems/add-two-numbers
1396,Design Underground System,71.80%,Medium,93.1945,https://leetcode.com/problems/design-underground-system
3,Longest Substring Without Repeating Characters,31.60%,Medium,92.3569,https://leetcode.com/problems/longest-substring-without-repeating-characters
91,Decode Ways,27.00%,Medium,92.0483,https://leetcode.com/problems/decode-ways
238,Product of Array Except Self,61.40%,Medium,91.5417,https://leetcode.com/problems/product-of-array-except-self
20,Valid Parentheses,40.00%,Easy,90.704,https://leetcode.com/problems/valid-parentheses
224,Basic Calculator,38.30%,Hard,89.8663,https://leetcode.com/problems/basic-calculator
973,K Closest Points to Origin,64.70%,Medium,89.7796,https://leetcode.com/problems/k-closest-points-to-origin
1335,Minimum Difficulty of a Job Schedule,56.50%,Hard,89.6314,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule
829,Consecutive Numbers Sum,39.20%,Hard,89.5435,https://leetcode.com/problems/consecutive-numbers-sum
380,Insert Delete GetRandom O(1),49.20%,Medium,89.3784,https://leetcode.com/problems/insert-delete-getrandom-o1
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,34.10%,Medium,88.6085,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts
206,Reverse Linked List,65.90%,Easy,88.1964,https://leetcode.com/problems/reverse-linked-list
253,Meeting Rooms II,47.20%,Medium,88.1098,https://leetcode.com/problems/meeting-rooms-ii
295,Find Median from Data Stream,47.60%,Hard,88.0459,https://leetcode.com/problems/find-median-from-data-stream
4,Median of Two Sorted Arrays,31.50%,Hard,87.9297,https://leetcode.com/problems/median-of-two-sorted-arrays
588,Design In-Memory File System,46.80%,Hard,87.092,https://leetcode.com/problems/design-in-memory-file-system
981,Time Based Key-Value Store,54.30%,Medium,86.8819,https://leetcode.com/problems/time-based-key-value-store
127,Word Ladder,32.30%,Hard,86.8287,https://leetcode.com/problems/word-ladder
273,Integer to English Words,28.40%,Hard,86.1401,https://leetcode.com/problems/integer-to-english-words
1249,Minimum Remove to Make Valid Parentheses,64.30%,Medium,86.0777,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses
5,Longest Palindromic Substring,30.70%,Medium,86.0281,https://leetcode.com/problems/longest-palindromic-substring
460,LFU Cache,36.60%,Hard,85.8162,https://leetcode.com/problems/lfu-cache
23,Merge k Sorted Lists,43.20%,Hard,85.7455,https://leetcode.com/problems/merge-k-sorted-lists
31,Next Permutation,33.90%,Medium,85.6096,https://leetcode.com/problems/next-permutation
221,Maximal Square,39.70%,Medium,84.7719,https://leetcode.com/problems/maximal-square
7,Reverse Integer,26.00%,Easy,84.6421,https://leetcode.com/problems/reverse-integer
15,3Sum,28.30%,Medium,84.1112,https://leetcode.com/problems/3sum
560,Subarray Sum Equals K,43.70%,Medium,83.8682,https://leetcode.com/problems/subarray-sum-equals-k
215,Kth Largest Element in an Array,59.10%,Medium,83.7945,https://leetcode.com/problems/kth-largest-element-in-an-array
415,Add Strings,48.60%,Easy,83.5063,https://leetcode.com/problems/add-strings
1010,Pairs of Songs With Total Durations Divisible by 60,50.80%,Medium,83.462,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
53,Maximum Subarray,47.90%,Easy,82.6454,https://leetcode.com/problems/maximum-subarray
139,Word Break,42.00%,Medium,82.3162,https://leetcode.com/problems/word-break
1348,Tweet Counts Per Frequency,37.40%,Medium,82.2483,https://leetcode.com/problems/tweet-counts-per-frequency
49,Group Anagrams,59.90%,Medium,82.0205,https://leetcode.com/problems/group-anagrams
